"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 38:2",0.09901,0.12195,0.2016,0.24423,0.24541,0.27154,0.3152,0.31401
"FA 17:0 (margaric acid)",0.097908,0.17882,0.18188,0.19403,0.29145,0.30967,0.32671,0.33001
"PC 36:4 Isomer C",0.094434,0.40084,0.40131,0.41129,0.58113,0.63195,0.62856,0.63127
"TG 51:3",0.094213,0.40926,0.48725,0.68335,0.67584,0.67629,0.67145,0.68995
"PC P-36:3 or PC O-36:4",0.093325,0.32186,0.39099,0.47057,0.55806,0.60865,0.60469,0.60304
"PC 33:2",0.086113,0.4889,0.48277,0.49177,0.48741,0.5248,0.52509,0.55327
"PE 16:1_18:1",0.085458,0.12851,0.14985,0.54206,0.53726,0.54013,0.59707,0.59537
"PS 18:0_22:6",0.082922,0.5622,0.55037,0.6795,0.67403,0.78351,0.78757,0.79008
"PC 38:5 Isomer B",0.07898,0.27741,0.28602,0.49862,0.54078,0.63506,0.6311,0.63639
"TG 50:3 Isomer A",0.078567,0.83009,0.90988,0.97044,0.95644,0.93986,0.93271,0.93849
"docosanamide",0.078199,0.24824,0.35457,0.33713,0.4957,0.51283,0.51142,0.50965
"LPC 20:1",0.06884,0.43646,0.44643,0.51943,0.51556,0.54921,0.5532,0.55829
"SM d42:0",0.067534,0.61694,0.63575,0.64245,0.63262,0.64567,0.64476,0.64348
"PE O-40:5 Isomer B",0.066197,0.30861,0.29915,0.54148,0.54097,0.53183,0.52945,0.5563
"LPC P-18:0 or LPC O-18:1",0.065792,0.75583,0.71027,0.67778,0.71025,0.69781,0.71774,0.71464
"trihydroxyoctadec-15-enoic acid",0.060493,0.22146,0.21284,0.23223,0.5126,0.58865,0.59271,0.59015
"TG 54:0",0.059084,1.0373,0.97504,1.0626,1.045,1.0663,1.0596,1.0572
"HexCer 18:1;2O/24:0",0.058901,0.21053,0.20416,0.19524,0.23445,0.28476,0.28863,0.2997
"SM 46:5;3O",0.05864,0.44692,0.47953,0.50873,0.61521,0.61439,0.63146,0.63357
"Cer-NDS d40:0",0.053241,0.786,0.80813,0.77022,0.7595,0.74749,0.74771,0.74534
"TG 58:9",0.052144,0.80812,0.8293,0.78779,0.77576,0.81049,0.81698,0.81939
"SM 42:0;3O",0.051908,0.39208,0.59095,0.66551,0.66048,0.74876,0.74332,0.74413
"PC 36:4 Isomer A",0.049982,0.39501,0.48591,0.48258,0.49595,0.54009,0.53622,0.54931
"SM 38:4;3O",0.049318,0.32623,0.42119,0.48861,0.56551,0.61979,0.61533,0.6135
"TG 56:7 Isomer B",0.042071,0.63788,0.71195,0.67804,0.66736,0.72645,0.73058,0.73726
"Cer 22:0;2O/26:0",0.040588,0.47777,0.50381,0.52971,0.54735,0.53851,0.53979,0.54818
"PC 40:7 Isomer B",0.039764,0.03304,0.15641,0.44893,0.44212,0.61807,0.63925,0.66353
"PE 34:2",0.037323,0.31045,0.33349,0.70908,0.70374,0.7079,0.71269,0.71374
"LPC O-24:1",0.036465,0.029486,0.24782,0.3935,0.40433,0.47981,0.47634,0.47763
"PC 35:4",0.035612,0.037219,0.18252,0.30435,0.33851,0.36452,0.37058,0.37491
"PC 30:0",0.034428,0.12791,0.2728,0.47152,0.46423,0.48716,0.48353,0.48168
"LPE 18:0",0.029193,0.47497,0.44734,0.55835,0.55096,0.62061,0.6228,0.6323
"SM 42:7;3O",0.028993,1.5139,1.4567,1.3842,1.3876,1.3886,1.3815,1.3764
"PE 36:4",0.026645,0.23779,0.28429,0.76097,0.78513,0.77294,0.80059,0.7974
"acylcarnitine 08:0",0.025775,1.0339,0.97411,0.92677,1.0384,1.0207,1.013,1.0226
"Cer 18:2;2O/23:0",0.025286,0.056372,0.066193,0.41993,0.45582,0.47303,0.46963,0.47627
"PE-O 18:1_22:6",0.021716,0.12006,0.19928,0.58073,0.57763,0.58045,0.58059,0.59451
"SM d33:1",0.017444,0.53948,0.56499,0.57516,0.56842,0.56656,0.59806,0.59914
"PE P-36:4 or PE O-36:5",0.013271,0.27152,0.26037,0.9387,0.92872,0.91928,0.92611,0.92448
"Phosphatidylethanolamine alkenyl 16:0-20:4",0.011887,0.45792,0.44001,0.87892,0.87886,0.86429,0.90957,0.91097
"Phosphatidylethanolamine alkenyl 18:0-18:2",0.011628,0.015068,0.24306,0.99806,1.0318,1.015,1.0103,1.0089
"SM d31:1",0.011007,0.30438,0.36212,0.39081,0.41716,0.40965,0.41066,0.41724
"PE 36:1",0.010673,0.55208,0.51967,0.8957,0.8932,0.89157,0.89494,0.89589
"PE 36:3",0.0098155,0.057071,0.05561,0.73409,0.7225,0.71131,0.74495,0.74232
"PC 33:1",0.009702,0.46507,0.75082,0.76965,0.76084,0.75373,0.78462,0.78377
"Cer d46:2",0.009255,0.85016,0.97448,0.98113,1.0377,1.02,1.014,1.0263
"acylcarnitine 14:1",0.0088872,0.14957,0.52971,0.53736,0.5626,0.55491,0.55186,0.5508
"Cer d40:2",0.0058898,0.46237,0.45947,0.5057,0.50028,0.56067,0.59377,0.5919
