"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"LPC 15:0",0.7912,0.81877,0.76708,0.73124,0.76636,0.77679,0.77182,0.76925
"SM d40:2 Isomer B",0.78964,0.80177,1.048,0.98313,0.94835,0.92567,0.90403,0.90082
"SM d34:2",0.78705,0.59734,0.9488,0.8971,0.87601,0.8657,0.85072,0.84837
"SM d44:2 isomer A",0.78301,0.60481,1.0516,0.95259,0.9471,0.92343,0.90747,0.90434
"TG 36:0",0.77333,0.61903,0.97958,0.90792,0.87783,0.85949,0.85354,0.84963
"GlcCer d40:1",0.77288,0.99342,0.87611,1.1301,1.096,1.0652,1.0449,1.0406
"FA 18:3 (linolenic acid)",0.77031,0.98749,0.81704,0.97929,0.96841,0.98236,1.0668,1.0642
"Cer d32:1",0.7689,0.94294,0.78535,0.94129,0.92451,0.91552,0.90234,0.89843
"PC P-38:3 or PC O-38:4 Isomer B",0.76774,0.75234,0.60992,0.62083,0.98698,0.96356,0.9511,0.94703
"PE O-40:6 Isomer B",0.7658,1.0797,0.88811,0.8045,0.88549,0.98595,0.96394,0.96802
"FA 20:5 (eicosapentaenoic acid)",0.75567,1.817,1.5658,1.4267,1.5321,1.5408,1.5352,1.5276
"Cer 20:0;3O/24:0;(2OH)",0.74915,1.2882,1.0467,0.9483,0.92467,0.95485,0.97412,0.97995
"LPC 18:1",0.74905,0.71617,0.70645,0.78101,0.78969,0.81879,0.86476,0.86026
"Cer d41:1",0.7438,1.1124,0.97827,0.89902,0.86778,0.86445,0.84422,0.84314
"PC 38:1",0.74257,0.92462,1.067,1.0583,1.0232,0.99454,0.97393,0.9684
"PC 30:0",0.73883,0.55776,0.45627,0.67872,0.70991,0.70897,0.69873,0.69555
"SM 26:0;2O/18:1",0.72803,0.55717,0.5257,0.52349,0.50628,0.54586,0.53948,0.55239
"TG 22:0",0.72453,0.58309,0.94134,0.85613,0.83111,0.81105,0.84207,0.83723
"PI 38:3",0.72287,0.78123,0.72393,0.7916,0.82172,0.80128,0.78253,0.7789
"FA 15:1",0.71855,0.54469,0.99361,0.92742,0.95733,0.99842,0.98645,0.98138
"acylcarnitine 10:0",0.71654,1.5266,1.5086,1.4594,1.4261,1.3883,1.454,1.4483
"PEtOH 16:0_16:0",0.70607,1.6111,1.4652,1.5737,1.517,1.4948,1.5047,1.506
"4-methyl-2-oxopentanoic acid",0.70456,0.52622,0.60921,0.66976,0.85491,0.94226,0.93429,0.93252
"Cer 20:0;2O/24:0",0.69995,0.77829,0.64885,0.69657,0.6805,0.67126,0.69659,0.69495
"FA 20:2 (eicosadienoic acid)",0.69802,0.51887,0.74986,0.77842,0.81543,0.81224,0.88347,0.89419
"SHexCer 34:1;3O",0.69522,0.60723,0.60087,0.77228,0.77989,0.75897,0.74185,0.74903
"SM d41:2 Isomer B",0.6943,0.61278,0.79448,0.88198,0.85196,0.82979,0.81037,0.80572
"SM d38:0 Isomer A",0.67748,0.84132,0.85132,0.85262,0.82364,0.81793,0.82513,0.82229
"SM d42:1",0.67638,0.50638,0.75754,0.68937,0.66541,0.65037,0.63836,0.63616
"TG 49:0",0.67635,0.81503,1.2192,1.1096,1.0725,1.043,1.0186,1.0203
