"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Cer d33:1",0.41934,0.6407,0.89823,0.81949,0.77322,0.75702,0.74821,0.74371
"GlcCer d42:1",0.4099,1.2507,1.0604,1.1314,1.084,1.0583,1.0462,1.0434
"TG 52:0",0.40469,1.2663,1.4025,1.297,1.2226,1.2084,1.1923,1.1887
"PC 30:6",0.40172,0.36481,0.84067,0.78667,0.93738,0.91889,0.92975,0.92511
"TG 53:4",0.39447,0.71242,1.1914,1.0575,1.0002,0.9865,0.97406,0.96833
"TG 48:1",0.3916,0.73582,1.0619,1.6014,1.5238,1.4853,1.4778,1.4695
"PFAP-FT_diPAP",0.38959,0.59529,1.2454,1.1326,2.3273,2.2734,2.2622,2.2483
"LPC 20:0",0.38847,0.29001,0.24668,0.61406,0.57911,0.73557,0.73577,0.73173
"TG 51:1 Isomer B",0.38633,0.60127,0.89158,1.2683,1.1946,1.1683,1.1544,1.147
"acylcarnitine 18:0 Isomer A",0.38322,0.54634,0.5415,0.47455,0.45539,0.75402,0.7461,0.74123
"PC 38:5 Isomer B",0.37076,0.85214,0.75893,0.7185,0.71603,0.80677,0.80436,0.80172
"PA 18:1_18:1",0.36586,0.42833,0.52618,0.76994,0.734,0.7254,0.71579,0.71161
"PI 32:1",0.36242,0.27624,0.63554,0.61319,0.5805,0.57229,0.5669,0.56334
"TG 44:0",0.36049,0.9602,1.1801,1.0925,1.0351,1.009,1.0034,1.0004
"SM 12:1;2O/32:8",0.35801,0.25791,0.72474,0.80841,0.78406,0.76436,0.75432,0.75177
"TG 52:3",0.34999,0.24433,1.0564,1.4139,1.3317,1.3087,1.293,1.2877
"Cer d34:0",0.3485,0.76871,0.72514,0.63914,0.61525,0.60401,0.59891,0.60402
"LPC 22:6",0.34394,0.25572,0.51426,0.932,1.2112,1.1948,1.1839,1.1795
"TG 40:1",0.34364,0.40781,0.3721,0.48158,0.55793,0.55025,0.55453,0.57401
"OxPC 36:3+1O",0.34139,0.53462,0.69127,0.60827,0.57447,0.56244,0.56481,0.5645
"PE 38:4",0.33892,0.51123,0.81693,0.84651,0.85723,0.83588,0.97316,0.97668
"FA 17:0 (margaric acid)",0.33791,0.74793,0.63259,0.5593,0.52861,0.53295,0.53105,0.54044
"TG 53:2",0.33651,0.26311,0.85598,1.2094,1.1599,1.1308,1.1174,1.11
"PC 38:6 Isomer A",0.32969,1.1054,0.94857,1.0489,1.0208,1.0312,1.0196,1.026
"PEtOH 36:1",0.32951,0.72792,2.1048,1.9221,1.9344,1.9196,1.9224,1.9428
"PE P-38:4 or PE O-38:5",0.32531,0.75606,1.0595,1.2388,1.1669,1.1667,1.1616,1.157
"LPC P-18:0 or LPC O-18:1",0.32263,0.84137,0.6997,0.92174,0.89862,1.0025,1.0032,1.0208
"PC 34:4",0.31917,0.90904,0.8162,0.72507,0.77451,0.78158,0.7913,0.78689
