"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"acylcarnitine 18:0 Isomer A",0.22174,0.19351,0.22945,0.22914,0.22463,0.33919,0.43908,0.44126
"SM 38:4;3O",0.21884,0.64426,0.604,0.6453,0.70747,0.72875,0.7228,0.72009
"FA 17:0 (margaric acid)",0.20958,0.27493,0.28774,0.27775,0.34927,0.36946,0.36962,0.37032
"13-HODE",0.2085,0.70769,1.0162,0.98324,0.96199,0.9562,0.94967,0.96172
"PE 36:4",0.20781,0.3653,0.34204,0.76942,0.77249,0.76027,0.79198,0.78842
"PC 37:4",0.20683,0.48155,0.47792,0.54158,0.56073,0.66543,0.65987,0.65689
"palmitoyl ethanolamide",0.20669,0.70158,0.86217,0.83989,0.82334,0.89284,0.88544,0.88286
"Cer d34:1",0.20639,0.17794,0.38376,0.37138,0.4134,0.4979,0.55235,0.54986
"FA 20:5 (eicosapentaenoic acid)",0.20483,0.74974,0.76773,0.88631,0.87787,0.90291,0.89553,0.91829
"SM d35:2",0.20303,0.45788,0.47394,0.4938,0.48325,0.47687,0.54729,0.54494
"Cer 18:0;3O/24:0;(2OH)",0.20068,0.42319,0.58959,0.59774,0.58566,0.58667,0.61041,0.60901
"LPC 15:0",0.19443,0.53492,0.5064,0.50001,0.4971,0.49651,0.54035,0.54703
"Cer d42:0",0.19402,0.60362,0.65332,0.62757,0.63748,0.62865,0.6369,0.63436
"PC P-38:4 or PC O-38:5 Isomer A",0.19326,0.72307,0.70839,0.73749,0.78556,0.80991,0.81694,0.81563
"SM 18:0;2O/21:0",0.19201,0.30364,0.38288,0.36782,0.3671,0.37199,0.3904,0.40774
"PA 18:1_18:1",0.19139,0.23833,0.2387,0.22926,0.30909,0.32886,0.33243,0.34875
"LPE O-16:1",0.18517,0.27023,0.25522,0.41839,0.41704,0.49811,0.50415,0.51725
"Cer-NDS d40:0",0.18252,0.86022,0.83581,0.80903,0.79608,0.78427,0.78129,0.77858
"PE O-16:1_22:6",0.18204,0.26636,0.41372,0.53229,0.5261,0.51935,0.51742,0.52541
"PC P-38:3 or PC O-38:4 Isomer B",0.18097,0.63065,0.59843,0.62342,0.8183,0.8112,0.80548,0.80183
"PI 18:0_20:4",0.17831,0.7306,0.71874,0.69315,0.69401,0.74731,0.74171,0.74078
"FA 18:3 (linolenic acid)",0.17791,0.15419,0.6453,0.65635,0.66798,0.71162,0.70563,0.70542
"SM d41:0",0.17067,0.37837,0.35509,0.34316,0.33793,0.34103,0.39568,0.39499
"LPC O-24:1",0.17065,0.15338,0.36203,0.41579,0.42214,0.46318,0.45968,0.45864
"SM d39:1",0.16676,0.26098,0.44022,0.42695,0.41777,0.41116,0.44187,0.44669
"Cer d46:2",0.16375,0.95491,0.97615,0.98236,1.0456,1.0292,1.0216,1.0361
"Phosphatidylethanolamine alkenyl 18:0-18:2",0.15467,0.22752,0.44063,0.90249,0.99004,0.97457,0.96669,0.96355
"TG 50:4",0.15464,0.17017,0.50158,0.56522,0.61346,0.64875,0.65705,0.68639
"4-methyl-2-oxopentanoic acid",0.1471,0.28181,0.32556,0.31337,0.30723,0.32617,0.33625,0.35355
