"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 16:0_14:0",1.5426,1.4036,1.2443,1.1642,1.2308,1.2275,1.2245,1.2221
"PS 18:0_22:6",1.5393,0.90831,1.1439,1.0627,1.0434,1.0334,1.0241,1.023
"Cer d32:1",1.5218,0.88452,1.0943,1.0724,1.0603,1.0404,1.0352,1.032
"FA 22:1 (erucic acid)",1.5004,1.9053,1.7151,1.6928,1.64,1.6204,1.6093,1.6043
"Phosphatidylethanolamine alkenyl 16:0-20:4",1.4963,0.93015,1.1361,1.0632,1.0361,1.0296,1.0203,1.0181
"FA 22:4",1.4956,1.6227,1.5038,1.4731,1.428,1.3961,1.3896,1.3851
"TG 40:0",1.4756,1.3467,1.354,1.2603,1.2375,1.2557,1.2523,1.2502
"PC P-36:4 or PC O-36:5",1.4607,0.98112,1.2165,1.1281,1.0941,1.0696,1.0607,1.0573
"LPE O-16:1",1.442,0.87126,0.82338,0.78802,0.82684,0.84779,0.86476,0.8732
"TG 54:4",1.4418,1.9141,1.7338,1.7312,1.6805,1.6644,1.6689,1.6634
"4-methyl-2-oxopentanoic acid",1.4326,1.7517,1.6602,1.6386,1.6012,1.5711,1.5738,1.5764
"TG 60:2",1.4307,1.0838,0.96371,1.0775,1.0798,1.0738,1.071,1.0675
"FA 15:1",1.4079,1.813,1.6381,1.5223,1.5562,1.5249,1.5122,1.5119
"LPC P-16:0 or LPC O-16:1",1.3983,0.981,0.95123,0.88859,0.90746,0.90145,0.91116,0.9082
"PE O-38:6 Isomer A",1.395,0.89269,1.2187,1.1502,1.115,1.1227,1.1257,1.1259
"PS 40:4",1.3919,0.82477,0.83062,0.81226,0.90966,0.89166,0.8836,0.88076
"PC 16:0/9:0 CHO",1.3855,0.8497,0.76432,0.76061,0.76686,0.76287,0.7589,0.77364
"SM 20:0;2O/22:3",1.3851,1.2052,1.0716,0.99381,0.98042,0.98706,0.97812,0.97498
"FAHFA 18:0/20:2",1.3773,0.9689,1.1325,1.1488,1.1371,1.1123,1.1045,1.1018
"PI 16:0_16:0",1.3653,1.8039,1.8197,1.6888,1.6475,1.6358,1.6645,1.6628
"LPE O-18:1",1.3606,1.294,1.1456,1.0765,1.0706,1.0524,1.0433,1.0399
"acylcarnitine 10:0",1.353,1.5895,1.408,1.6282,1.5973,1.5834,1.5702,1.5758
"TG 48:3",1.3384,1.4522,1.4065,1.3044,1.2745,1.2564,1.2467,1.2458
"TG 56:4",1.3215,1.4792,1.357,1.4653,1.4306,1.4267,1.416,1.4118
"PC 32:2",1.3126,0.86377,0.86174,0.88643,0.86637,0.85144,0.84426,0.8441
"TG 56:1",1.3117,0.763,0.76628,0.78501,0.82517,0.80732,0.81,0.81082
"DG 18:1_18:2",1.3042,1.2344,1.0923,1.0703,1.0559,1.0365,1.029,1.0257
"PE P-36:2 or PE O-36:3",1.2969,0.75912,0.79497,0.87983,0.86869,0.86297,0.85831,0.86616
"TG 52:4;O2|TG 16:0_18:1_18:3;O2",1.2777,1.7516,1.5776,1.5072,1.4946,1.4765,1.478,1.4777
"SM 42:0;3O",1.2721,1.6286,1.4436,1.3394,1.2995,1.2916,1.2799,1.2795
"PEtOH 16:0_16:1",1.2719,1.5519,1.3732,1.5912,1.5664,1.5622,1.5597,1.5592
