"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"lactosylceramide d18:1/24:1 15Z",0.5794,1.1941,1.07,0.97291,0.92992,0.91201,0.95874,0.94968
"PC 38:3",0.57319,0.89661,0.84993,0.81229,0.93472,0.93319,0.95007,0.93762
"Cer d34:2",0.57316,0.34949,0.32123,0.83337,0.80818,0.98744,0.97068,0.9576
"TG 46:0",0.57175,0.60714,0.63022,0.69928,0.68889,0.68054,0.66269,0.65833
"TG 49:3",0.57167,1.1337,1.0229,0.93315,0.97973,0.96135,0.94029,0.93289
"PE P-40:4 or PE O-40:5 Isomer A",0.56963,0.38887,1.4838,1.3927,1.3335,1.3149,1.286,1.2736
"PC O-30:0",0.56685,0.7908,0.74401,0.67572,0.73199,0.73002,0.71837,0.74089
"PC 31:0",0.56561,0.96198,0.8622,0.78245,0.74972,0.73655,0.71714,0.72118
"PC O-33:0",0.56136,0.90628,0.81106,0.80986,0.79881,0.79018,0.81101,0.80048
"PC 37:3",0.55252,0.35893,0.33618,0.30494,0.38308,0.37566,0.42189,0.41691
"PC 16:0/9:0 CHO",0.55199,1.3474,1.3618,1.2576,1.1992,1.2164,1.209,1.2068
"PEtOH 16:0_16:1",0.55029,0.42395,0.38395,0.89771,0.96132,0.94322,0.9783,1.0081
"PE O-16:1_18:1",0.54378,0.99158,1.1485,1.0418,0.99284,0.97878,0.95783,0.94499
"acylcarnitine 18:0 Isomer A",0.54267,1.0102,0.90395,0.82014,0.82067,0.94879,0.93798,0.93236
"acylcarnitine 08:0",0.54048,1.4524,1.3008,1.2099,1.2136,1.2007,1.2056,1.19
"TG 56:1",0.53898,0.76856,0.7061,0.70093,0.67452,0.66671,0.68789,0.68027
"PC 40:5 Isomer A",0.52836,0.35691,0.51198,0.46443,0.5819,0.66564,0.66972,0.70972
"LPE 16:0",0.52366,0.33189,0.31523,0.70736,0.67444,0.66243,0.70026,0.692
"PE O-16:1_22:6",0.51955,1.4411,1.3609,1.3095,1.3075,1.2835,1.2504,1.2384
"LPC 18:1",0.51497,1.7398,1.6285,1.4954,1.5207,1.5011,1.4816,1.4619
"TG 14:0_16:0_17:1",0.50323,1.1247,1.0059,0.91344,0.90057,0.88246,0.86236,0.85213
"SM d31:1",0.49904,0.30459,0.38958,0.41801,0.68062,0.6704,0.65466,0.64698
"TG 56:7 Isomer A",0.49233,0.34232,0.33533,0.67155,0.71412,0.7752,0.75976,0.75622
"LPC 32:0",0.49038,0.31086,0.36518,0.35963,0.3442,0.35584,0.35177,0.37367
"SM 35:1;2O",0.48552,0.30721,0.7564,0.84574,0.90999,0.91692,0.89368,0.89398
"GlcCer d41:1",0.48539,0.35001,0.33873,0.36464,0.42382,0.43484,0.42595,0.42029
"Cer 18:0;2O/24:0",0.47791,0.31481,0.53615,0.50926,0.65173,0.64146,0.63781,0.64447
"PC 40:1",0.47686,0.29618,0.26825,0.40661,0.7027,0.69723,0.71176,0.72356
"Cer 18:0;2O/24:1",0.4743,1.2868,1.2559,1.1417,1.0966,1.1113,1.1082,1.1
