"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Cer-NP t42:0",0.29382,0.85767,0.76834,0.77451,0.77772,0.774,0.76651,0.76574
"PC 42:2",0.29241,1.2451,1.1121,1.2272,1.2269,1.2128,1.1987,1.1982
"PC 40:5 Isomer A",0.29038,1.0355,1.1445,1.0903,1.0707,1.0649,1.0561,1.0512
"8,15-DiHETE",0.2844,1.1603,1.1821,1.1076,1.1062,1.0952,1.1232,1.1267
"SM d40:1",0.28347,0.24709,0.2685,0.6542,0.64472,0.65126,0.67822,0.67511
"PEtOH 16:1_16:1",0.28168,1.0909,1.1917,1.1303,1.1067,1.1195,1.1648,1.1603
"SM 20:3;2O/24:0",0.27651,0.22113,0.49719,0.49288,0.50213,0.5209,0.51651,0.53834
"LPC O-24:1",0.27625,0.5954,0.80329,0.77588,0.8587,0.85131,0.84435,0.84048
"PEtOH 18:1_18:1",0.27457,0.7268,0.97197,0.95327,0.98585,1.0047,0.99295,1.013
"GlcCer d41:1",0.26852,0.95614,1.0432,0.96265,0.93432,0.92663,0.91587,0.9141
"LPC p-18:0",0.26304,0.55073,0.70407,0.67481,0.66542,0.74005,0.73478,0.73153
"PC 35:2",0.26083,0.27277,0.28346,0.27526,0.26844,0.26681,0.27279,0.27171
"SM d38:0 Isomer A",0.25888,0.37641,0.34036,0.51957,0.51165,0.50971,0.55168,0.55684
"Cer d40:2",0.25457,0.21025,0.21447,0.49096,0.47663,0.54087,0.56828,0.57156
"Cer-NDS d43:0",0.25093,0.28356,0.44879,0.53588,0.63036,0.62442,0.61746,0.62065
"PC P-42:5 or PC O-42:6 Isomer A",0.24642,0.33459,0.60782,0.59589,0.59403,0.59229,0.63105,0.63103
"PC P-36:2 or PC O-36:3",0.24385,0.19909,0.60104,0.77666,0.75741,0.74883,0.74658,0.7431
"SM d43:1 Isomer B",0.24009,0.2166,0.3894,0.3775,0.49541,0.49109,0.56001,0.55986
"SM d36:0 Isomer B",0.24004,0.35183,0.40634,0.37515,0.41,0.40843,0.55081,0.54826
"acylcarnitine 08:1",0.23803,1.0665,0.9656,0.8943,0.95022,0.94004,0.93341,0.95718
"PC O-32:1",0.23324,0.19996,0.61862,0.75374,0.73051,0.73857,0.73,0.72704
"SM 35:1;2O",0.23197,0.58699,0.65308,0.6077,0.63167,0.62408,0.69114,0.68953
"PC 30:6",0.22971,0.22658,0.46992,0.62197,0.62581,0.62503,0.62776,0.63041
"PI 38:3",0.22942,0.26813,0.30441,0.43748,0.51378,0.51214,0.52367,0.57454
"Hex3Cer 18:1;2O/16:0",0.22896,0.19983,0.39504,0.38024,0.37069,0.3917,0.42388,0.42735
"TG 54:6 Isomer A",0.22243,0.63948,0.70618,0.70855,0.68748,0.68655,0.67851,0.68503
"Cer 18:0;2O/24:1",0.21759,0.30366,0.2896,0.26743,0.43326,0.43596,0.45363,0.45304
"Cer 18:1;2O/26:0",0.21482,0.51469,0.4585,0.44703,0.58438,0.58309,0.57651,0.57424
"SM 44:1;2O",0.21426,0.17195,0.23578,0.32664,0.40602,0.41088,0.43109,0.4325
"PC 36:4 Isomer A",0.21285,0.63198,0.58849,0.93674,0.92938,0.91903,0.91636,0.91368
"LPI 18:0",0.21138,0.46684,0.75816,0.78599,0.76866,0.75949,0.75083,0.75873
"PGE2",0.21124,0.27672,0.75981,0.77462,0.77719,0.7722,0.80845,0.82021
"FA 22:1 (erucic acid)",0.2064,0.4381,0.43577,0.73297,0.71461,0.70656,0.71714,0.72623
"cholesterol 3-sulfate",0.20502,0.17073,0.16212,0.32065,0.41623,0.41121,0.4099,0.41159
"Cer d42:3",0.20391,0.19571,0.21597,0.22238,0.22509,0.31289,0.33022,0.33184
"PMeOH 16:0_18:1",0.20264,1.7145,1.7138,1.8063,1.7877,1.7904,1.7749,1.7666
"PC 34:2",0.1952,0.68691,0.62626,0.58591,0.57303,0.56837,0.57003,0.56739
"PC 16:0_18:2",0.19105,0.76955,0.7021,0.65246,0.63482,0.62901,0.62239,0.62284
"PI 34:2",0.19025,0.27014,0.38915,0.45166,0.44948,0.4562,0.45781,0.50059
"TG 36:0",0.18905,0.23506,0.68036,1.0223,1.0012,1.0332,1.0211,1.018
"FA 16:1 (palmitoleic acid)",0.18886,0.47533,0.48533,0.91716,0.97715,0.96985,0.96883,0.96521
"Cer d34:2 Isomer B",0.17999,0.57317,0.69103,0.6854,0.67632,0.74305,0.75411,0.75283
"SM 30:2;2O (FA 14:0)",0.17671,0.17384,0.68967,0.65538,0.74465,0.75353,0.74468,0.7417
"LPC 20:0",0.17222,0.13736,0.39638,0.38887,0.467,0.48982,0.54654,0.54769
"PC P-34:1 or PC O-34:2 Isomer A",0.17144,0.1488,0.26559,0.32137,0.35937,0.35642,0.35372,0.35213
"LNAPE 18:2_N-19:0",0.16664,0.18138,0.18268,0.3285,0.46321,0.45814,0.5245,0.52746
"PEtOH 16:0_20:4",0.16497,0.59121,0.53281,0.69026,0.6931,0.69332,0.71201,0.70986
"PC 35:3",0.16336,0.14488,0.18315,0.75042,0.74885,0.73995,0.73147,0.73058
"MGDG 16:0_20:5",0.161,0.51357,0.82157,1.0549,1.0357,1.0395,1.0274,1.0348
"TG 60:2",0.15817,0.42057,0.46632,0.63804,0.6788,0.67237,0.67891,0.67909
"acylcarnitine 20:1",0.15281,0.28458,0.28405,0.41983,0.65813,0.65509,0.66797,0.66514
"SM 24:1",0.14943,0.22557,0.23835,0.65742,0.71406,0.73027,0.73109,0.72892
"GlcCer d42:1",0.14724,0.46383,0.42858,0.48534,0.47944,0.48573,0.48178,0.47952
"TG 64:2",0.14661,0.4346,0.39307,0.73662,0.74368,0.74101,0.7324,0.74662
"SM d36:1",0.14463,0.13255,0.3012,0.28182,0.3641,0.3656,0.49151,0.4944
"SM d40:0 Isomer B",0.1442,0.37863,0.49711,0.48455,0.47009,0.48057,0.51586,0.51345
"GlcCer d40:1",0.13974,0.80311,0.7409,0.68461,0.66461,0.6835,0.70085,0.69988
"PA 18:1_18:1",0.12979,0.2884,0.43146,0.42101,0.43567,0.43709,0.46654,0.46639
"SM d39:2 Isomer B",0.12533,0.34737,0.44653,0.41214,0.64134,0.63348,0.6504,0.65421
"acylcarnitine 10:0",0.12307,0.58987,0.59489,0.73721,0.71439,0.70933,0.71076,0.71105
"PC 21:4",0.11784,0.35034,1.2142,1.1728,1.2243,1.2311,1.2176,1.213
"SM d36:0 Isomer A",0.1172,0.095096,0.2956,0.30959,0.44648,0.44712,0.54567,0.54852
"Cer 20:0;2O/26:0",0.11647,0.71286,0.6463,0.74148,0.7584,0.74971,0.74995,0.75213
"TG 56:7 Isomer B",0.11623,1.0955,0.98161,1.0009,1.0391,1.0484,1.0364,1.0345
"Cer d32:1",0.11373,0.58746,0.70409,0.65175,0.65927,0.66389,0.72639,0.73116
"SM d42:2 Isomer B",0.11333,0.44102,0.3958,0.36522,0.43592,0.45078,0.4498,0.46392
"LPC O-20:1",0.10725,0.95969,1.3276,1.2472,1.2197,1.2089,1.1953,1.1904
"PC 35:2 Isomer B",0.10582,0.1954,0.29962,0.793,0.78023,0.78169,0.78456,0.78099
"GlcCer d42:2",0.10523,0.71365,0.65887,0.62655,0.6691,0.66335,0.65997,0.65882
"GlcCerd14:14E/20:02OH",0.10385,0.18231,0.17068,0.20759,0.25998,0.29064,0.38336,0.3816
"SM d34:2",0.1034,0.48946,0.43899,0.61731,0.60778,0.62944,0.63458,0.63375
"SM d40:1 Isomer B",0.099829,0.29859,0.26964,0.25053,0.26502,0.28644,0.32033,0.32286
"SM d34:1",0.09636,0.21731,0.21747,0.23798,0.29264,0.30846,0.32745,0.33854
"Cer 18:2;2O/23:0",0.09241,0.20312,0.23693,0.21907,0.2683,0.27858,0.42143,0.42149
"FA 32:0",0.090255,0.5895,0.5645,0.87296,0.87178,0.87094,0.86644,0.86392
"PI 36:4",0.088633,0.35864,0.35341,0.43943,0.42919,0.48116,0.47765,0.48403
"acylcarnitine 10:1",0.086442,0.90885,1.1729,1.359,1.3176,1.3016,1.2899,1.2859
"Cer d43:2",0.086044,0.077361,0.17294,0.45239,0.44482,0.43996,0.44261,0.44167
"FA 14:0 (myristic acid)",0.082645,0.24492,0.70876,0.7941,0.7994,0.79172,0.78402,0.78186
"SM d40:4",0.080744,0.28972,0.25798,0.23829,0.27613,0.2961,0.32468,0.35658
"PEtOH 16:0_16:1",0.079363,0.82546,0.80957,0.79967,0.78078,0.78542,0.87401,0.87261
"TG 34:0",0.07923,0.82515,0.87606,1.1068,1.0757,1.0853,1.0772,1.0926
"PC P-36:1 or PC O-36:2 B",0.078964,0.077495,0.22361,0.69747,0.76871,0.7593,0.76143,0.76739
"PC 40:4",0.078931,0.65692,0.76729,0.82659,0.95755,0.9508,0.95537,0.95094
"SM d37:1 Isomer B",0.077715,0.068798,0.42836,0.42301,0.48882,0.48436,0.56556,0.57358
"TG 60:1",0.077462,0.31525,0.34249,0.81738,0.79414,0.78445,0.77919,0.77767
"SM 22:1;2O/12:0",0.0755,0.14233,0.1906,0.40211,0.40677,0.41637,0.41151,0.41924
"TG 54:7 Isomer A",0.074412,0.29539,0.4794,0.61205,0.59385,0.58957,0.5852,0.58694
"PC 38:3",0.073998,0.071889,0.097015,0.11026,0.10752,0.10661,0.10539,0.23451
"trihydroxyoctadec-15-enoic acid",0.073829,0.95915,0.85445,0.96084,0.95615,0.99228,0.9806,0.97692
"PC P-34:1 or PC O-34:2",0.071115,0.57132,0.99192,1.024,1.0182,1.0228,1.0277,1.0229
"SM d34:0",0.069592,0.18102,0.19028,0.24547,0.34429,0.37938,0.3932,0.3966
"FA 15:0 (pentadecylic acid)",0.063631,0.21874,0.19475,0.81429,0.80846,0.80389,0.79587,0.79217
"LPC O-16:0",0.063115,0.41018,0.78803,0.72739,0.7053,0.77615,0.7761,0.77261
"SM d32:2",0.062979,0.69963,0.63648,0.69052,0.72181,0.74249,0.73877,0.74491
"FA 17:0 (margaric acid)",0.062682,0.25497,0.23037,0.62,0.60264,0.59617,0.62604,0.62853
"Cer d38:1",0.05966,0.40498,0.5354,0.54485,0.56411,0.56455,0.63642,0.63518
"LPC 20:1",0.059124,0.16973,0.5285,0.56059,0.57338,0.59708,0.64182,0.63882
"SM 20:0;2O/22:3",0.057598,0.34731,0.36938,0.56228,0.54537,0.55438,0.54941,0.55821
"TG 60:3",0.056634,0.23132,0.26186,0.59191,0.60474,0.59951,0.60085,0.59879
"SM 12:1;2O/32:8",0.047715,0.24868,0.46526,0.49631,0.7124,0.70682,0.69967,0.7062
"TG 10:0_12:0_18:2",0.046485,1.4388,1.286,1.1889,1.1522,1.1398,1.1265,1.1278
"SM d35:2",0.045997,0.047893,0.3019,0.36925,0.46893,0.46876,0.58122,0.57861
"FA 14:1 (physeteric acid)",0.041578,0.38713,0.64925,0.69327,0.7179,0.71743,0.73039,0.73474
"PC O-30:1",0.029232,0.097434,0.10527,0.4021,0.39333,0.39559,0.39095,0.39132
