"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"FA 19:1",0.73859,0.74973,0.68393,0.989,0.97927,0.96704,0.95844,0.95393
"Cer-NDS d41:0",0.73722,0.59386,0.67976,0.62847,0.6534,0.64494,0.63772,0.63475
"PC 38:5 Isomer A",0.73205,0.94807,0.92185,1.0586,1.0735,1.07,1.0602,1.0558
"FA 18:3 (linolenic acid)",0.71891,0.91819,0.82984,0.76637,0.74867,0.74262,0.73515,0.73173
"TG 52:5",0.7178,0.89482,0.84327,0.77705,0.75332,0.76913,0.78779,0.78799
"DG 18:1_18:2",0.71558,0.58781,0.83225,0.76567,0.78094,0.77245,0.76832,0.76991
"FA 20:5 (eicosapentaenoic acid)",0.71474,1.9876,1.7725,1.6364,1.6172,1.5982,1.5821,1.5814
"PC 38:1",0.71312,0.56311,0.63999,0.85866,0.94389,0.9385,0.93883,0.93443
"Cer 18:1;2O/24:2",0.70943,0.56299,0.49896,0.53018,0.52159,0.58055,0.57966,0.57699
"PC 38:5 Isomer B",0.70827,0.95314,0.89408,1.0721,1.0866,1.0759,1.0657,1.0615
"Cer d42:1",0.6981,0.66223,0.63142,0.58157,0.56385,0.61017,0.61776,0.61496
"PEtOH 16:0_18:1",0.69517,1.6797,1.6279,1.5001,1.4588,1.4907,1.4988,1.4922
"PC 19:1",0.69151,0.61193,1.5752,1.4577,1.5935,1.5843,1.5678,1.5673
"LNAPE 18:2/N-20:0",0.68829,0.98084,0.87821,0.82317,0.81932,0.81239,0.81547,0.81617
"SM d30:1",0.68497,0.54183,0.51782,0.54923,0.53734,0.54071,0.53603,0.53916
"Cer d46:2",0.68423,0.96822,1.0642,1.0169,1.0557,1.0442,1.0331,1.0283
"PC 36:0",0.68135,1.0501,0.99562,1.0019,1.05,1.0418,1.0336,1.0288
"TG 56:7 Isomer A",0.67605,0.54794,0.87701,0.80869,1.0633,1.0521,1.0396,1.0353
"TG 55:4",0.67245,0.60537,0.53784,0.49895,0.53866,0.54486,0.54058,0.53923
"GlcCer d34:1",0.65527,0.73365,0.72844,0.75585,0.73992,0.76703,0.77107,0.76818
"TG 56:8 Isomer A",0.6537,0.96752,0.93063,0.85688,0.92988,0.96316,0.96075,0.9581
"PC 19:2",0.65112,0.5399,1.8491,1.739,1.8254,1.8154,1.7949,1.7895
"lactosylceramide d18:1/24:1 15Z",0.6507,0.70357,0.62877,0.63808,0.67116,0.73041,0.75319,0.75008
"PC O-31:7",0.65066,1.9831,1.9407,1.8175,1.7719,1.7993,1.787,1.7815
"TG 54:5 Isomer A",0.64542,0.98345,0.95083,0.91234,0.88706,0.88049,0.87014,0.86619
"CE 18:2",0.63854,1.2763,1.1883,1.1111,1.1527,1.1378,1.1273,1.1256
"PC 16:0_5-oxovaleryl",0.63761,0.79279,0.71333,0.81776,0.98347,0.99244,0.99062,0.99417
"PFAP-FT_diPAP",0.63631,3.4495,3.055,2.8114,2.7371,2.8047,2.7807,2.8335
"SPB 26:0;2O",0.63255,0.56839,0.56093,0.61913,0.68518,0.67698,0.73099,0.7424
"TG 42:1",0.62986,0.55993,1.1817,1.0893,1.0631,1.1266,1.1156,1.1211
"PC 32:2",0.62362,0.83848,0.81355,0.93205,0.9069,0.89671,0.88599,0.88239
"PC 36:3 Isomer B",0.62237,0.69497,0.76275,0.91298,0.89494,0.88717,0.87687,0.87286
"SM d38:2",0.61562,0.71988,0.65105,0.61107,0.62177,0.61897,0.64556,0.65512
"Cer 18:2;2O/24:1",0.61505,0.64964,0.57919,0.5573,0.54095,0.55779,0.55115,0.56847
"PC 18:0_18:1",0.61243,0.54994,0.48727,0.62175,0.72503,0.71607,0.71051,0.70752
