"identifier","annotation","ion_species","InChiKey","mz","ret_time","ESI_mode"
"0.84_666.44","PC 16:0_azealic acid (PCPAz-PC) ","[M+H]+","GHQQYDSARXURNG-UHFFFAOYSA-N","666.43600000000004","0.84499999999999997","ESI pos"
"0.66_610.37","PC 16:0_glutaric acid ","[M+H]+","CDZVJFRXJAUXPP-UHFFFAOYSA-N","610.37270000000001","0.66400000000000003","ESI pos"
"1.01_650.44","PC 16:0/9:0 CHO ","[M+H]+","PPTNNIINSOQWCE-WJOKGBTCSA-N","650.43979999999999","1.014","ESI pos"
"2.65_822.58","PC 18:0_18:1 ","[M+Cl]-","ATHVAWFAEPLPPQ-UHFFFAOYSA-N","822.57860000000005","2.6539999999999999","ESI neg"
"0.75_550.35","PC 19:1 ","[M+H]+","ZHAHTCLACAJNQI-SEYXRHQNSA-N","550.34969999999998","0.746","ESI pos"
"0.56_548.34","PC 19:2 ","[M+H]+","FJBBYFIJZSIGIO-UTJQPWESSA-N","548.33500000000004","0.55600000000000005","ESI pos"
"0.54_572.33","PC 21:4 ","[M+H]+","XOZKRFBVCYMGKM-GKFVBPDJSA-N","572.33429999999998","0.53800000000000003","ESI pos"
"1.45_622.44","PC 24:0 ","[M+H]+","IJFVSSZAOYLHEE-UHFFFAOYSA-N","622.4443","1.454","ESI pos"
"1.85_678.51_1.85_700.49","PC 28:0 ","[M+H]+_[M+Na]+","CITGLCJVPOWHKC-UUWRZZSWSA-N","678.5064_700.4895","1.8505","ESI pos"
"1.97_692.52","PC 29:0 ","[M+H]+","GWWAIYISJPUKIW-UHFFFAOYSA-N","692.52390000000003","1.9690000000000001","ESI pos"
