"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM d40:0 Isomer B",0.41247,0.47667,0.46824,0.50701,0.50337,0.53595,0.53574,0.53408
"Cholesterol",0.40925,0.32008,0.30437,0.3643,0.51928,0.56044,0.55462,0.56268
"Cer 18:0;3O/16:0;(2OH)",0.39967,0.48951,0.74174,0.72737,0.69562,0.69286,0.73334,0.73014
"lactosylceramide d18:1/24:1 15Z",0.39844,0.26451,0.44376,0.45241,0.50507,0.5494,0.54739,0.54752
"SM d34:1",0.39692,0.23857,0.21255,0.32787,0.3572,0.37333,0.38024,0.39084
"Cer d44:2",0.39683,0.52886,0.47216,0.50537,0.49474,0.53665,0.5428,0.54025
"LPC O-24:1",0.3933,0.24787,0.3617,0.37081,0.46908,0.46265,0.45827,0.45833
"SM d40:0 Isomer A",0.38585,0.36434,0.32322,0.40388,0.55764,0.56118,0.55559,0.5536
"Cer 22:0;2O/26:0",0.3853,0.2532,0.24815,0.24971,0.4384,0.45917,0.48275,0.48169
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.3834,0.23973,0.56039,0.57047,0.54946,0.54605,0.54345,0.55761
"SM d43:1",0.38202,0.72601,0.64765,0.61792,0.6412,0.63704,0.63444,0.63946
"PC P-34:1 or PC O-34:2",0.37907,0.83325,1.0024,1.0533,1.0085,0.99262,0.98902,0.98444
"acylcarnitine 08:1",0.3782,0.49242,0.62404,0.77401,0.99556,0.99573,1.0879,1.0853
"PC 35:2",0.37739,0.28887,0.36493,0.36499,0.35525,0.35112,0.35773,0.37096
"trihydroxyoctadec-15-enoic acid",0.37607,1.526,1.2972,1.4918,1.6695,1.6351,1.6308,1.6236
"SM 35:1;2O",0.3756,0.22724,0.35693,0.35119,0.44443,0.44855,0.44377,0.47025
"SM 24:1",0.37212,0.47216,0.4016,0.44623,0.58177,0.63651,0.63236,0.64348
"TG 54:6 Isomer B",0.36626,1.426,1.3849,1.4037,1.3413,1.3129,1.3029,1.2977
"SM d32:2",0.36522,1.0108,0.86812,0.85206,0.86951,0.8625,0.85447,0.85285
"PI 36:4",0.35641,0.33236,0.66847,0.65233,0.6249,0.61636,0.617,0.61603
"Cer 20:0;2O/26:0",0.35199,0.58575,0.50664,0.49025,0.50979,0.54386,0.56724,0.57018
"SPB 25:0;2O",0.35175,0.25884,0.3661,0.35452,0.46016,0.50001,0.54117,0.56512
"SM 38:4;3O",0.35014,0.39823,1.2175,1.1718,1.1201,1.1013,1.0905,1.0868
"cholesterol 3-sulfate",0.34945,0.83317,0.77724,0.74116,0.71239,0.73197,0.75502,0.75374
"LPC 32:0",0.34762,0.78478,0.72994,0.69177,0.76206,0.74618,0.75301,0.74923
"SM d38:2",0.34034,0.35859,0.45796,0.43401,0.66162,0.64882,0.65218,0.64885
"PC 31:0",0.33972,0.72051,0.81163,0.86044,0.83156,0.82191,0.81366,0.81495
"PC 35:2 Isomer B",0.33939,0.27684,0.44059,0.66385,0.64494,0.7072,0.70062,0.69705
"PA 18:1_18:1",0.33665,0.28583,0.31197,0.33839,0.43641,0.4478,0.47705,0.47994
"PC 38:5 Isomer A",0.33568,0.20389,1.4637,1.4438,1.3828,1.356,1.3434,1.337
"Cer d36:1",0.33479,0.41645,0.5396,0.5375,0.59208,0.58039,0.57576,0.57305
"PC O-32:1",0.33475,0.20307,0.37249,0.42299,0.67995,0.66561,0.66621,0.67631
"PC 37:3",0.32549,0.74777,0.72833,0.7198,0.68928,0.6817,0.68831,0.68479
"13-HODE",0.32474,1.4463,1.4078,1.5503,1.4813,1.4681,1.4616,1.4541
"FA 22:0 (behenic acid)",0.32366,0.26739,0.32507,0.30823,0.38943,0.38295,0.40566,0.41829
