"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 56:6",0.51719,0.30569,0.39842,0.48563,0.83087,0.82135,0.83258,0.83684
"PS 38:3",0.51669,0.3054,0.27415,0.627,0.71062,0.69345,0.67998,0.67276
"Cer 18:2;2O/23:0",0.51548,0.63664,0.80247,0.75365,0.76273,0.77629,0.76989,0.7712
"PE O-40:5 Isomer B",0.51336,0.59753,1.5665,1.4712,1.397,1.3581,1.3332,1.3328
"PMeOH 16:0_18:1",0.50629,0.33878,0.41266,0.70051,0.67086,0.92537,0.9823,1.148
"LPC 16:0",0.50365,1.9084,1.9528,1.8431,1.7702,1.7273,1.7034,1.6831
"Cer 18:0;2O/24:1",0.50059,1.4443,1.43,1.3429,1.276,1.2789,1.2852,1.2708
"PC 33:3",0.49582,0.2943,0.43422,0.61213,0.58167,0.56593,0.55561,0.58865
"Cer d34:2",0.49334,0.29168,0.28525,0.70959,0.69173,0.84884,0.87155,0.86861
"Cer d34:2 Isomer A",0.49195,0.8696,0.8702,0.94554,0.95917,0.93372,0.9314,0.9287
"PE P-36:2 or PE O-36:3",0.48373,0.76643,1.2286,1.1829,1.1242,1.0976,1.0852,1.0783
"SM d44:3",0.47994,0.40553,0.36394,0.48327,0.45912,0.45086,0.45578,0.45517
"PC 40:7 Isomer B",0.47929,1.1212,1.32,1.2447,1.1892,1.2248,1.2618,1.2508
"OxPC 36:3+1O",0.47921,0.63547,0.64191,0.66339,0.64833,0.63216,0.62818,0.63274
